source,target
Imagine you have some co-authors or reviewers who collaborate with you writing your original document. One day you send out copies of your document to all reviewers. You ask them to edit the copy and send it back.,Imagine you have some co-authors or reviewers who collaborate with you writing your original document. One day you send out copies of your document to all reviewers. You ask them to edit the copy and send it back.
"Normally, the reviewers enable change tracking by <emph>Edit - Changes - Record</emph> and you can easily see the changes.","Normally, the reviewers enable change tracking by <emph>Edit - Changes - Record</emph> and you can easily see the changes."
You should always start with opening the newer document and compare it with the older document.,You should always start with opening the newer document and compare it with the older document.
Importing and Exporting Data in Base ,Importing and Exporting Data in Base 
<bookmark_value>databases;importing</bookmark_value><bookmark_value>importing;databases</bookmark_value><bookmark_value>databases;exporting</bookmark_value><bookmark_value>exporting;databases</bookmark_value><bookmark_value>copying; datasource records in spreadsheets</bookmark_value><bookmark_value>inserting; datasource records in spreadsheets</bookmark_value><bookmark_value>spreadsheets;inserting database records</bookmark_value><bookmark_value>data sources;copying records to spreadsheets</bookmark_value><bookmark_value>exporting;from data sources to %PRODUCTNAME Calc</bookmark_value><bookmark_value>pasting;from data sources to %PRODUCTNAME Calc</bookmark_value>,<bookmark_value>databases;importing</bookmark_value><bookmark_value>importing;databases</bookmark_value><bookmark_value>databases;exporting</bookmark_value><bookmark_value>exporting;databases</bookmark_value><bookmark_value>copying; datasource records in spreadsheets</bookmark_value><bookmark_value>inserting; datasource records in spreadsheets</bookmark_value><bookmark_value>spreadsheets;inserting database records</bookmark_value><bookmark_value>data sources;copying records to spreadsheets</bookmark_value><bookmark_value>exporting;from data sources to %PRODUCTNAME Calc</bookmark_value><bookmark_value>pasting;from data sources to %PRODUCTNAME Calc</bookmark_value>
"<variable id=""data_im_export""><link href=""text/shared/guide/data_im_export.xhp"">Importing and Exporting Data in Base</link></variable>","<variable id=""data_im_export""><link href=""text/shared/guide/data_im_export.xhp"">Importing and Exporting Data in Base</link></variable>"
Exporting data from Base,Exporting data from Base
"Open the database file that contains the database table to be exported. Click Tables to view the tables, or click Queries to view the queries.","Open the database file that contains the database table to be exported. Click Tables to view the tables, or click Queries to view the queries."
Choose <emph>File - New - Spreadsheet</emph>.,Choose <emph>File - New - Spreadsheet</emph>.
"In the Base window, right-click the name of the table to export. Choose <emph>Copy</emph> from the context menu.","In the Base window, right-click the name of the table to export. Choose <emph>Copy</emph> from the context menu."
"Click cell A1 in the new Calc window, then choose <emph>Edit - Paste</emph>.","Click cell A1 in the new Calc window, then choose <emph>Edit - Paste</emph>."
Now you can save or export the data to many file types.,Now you can save or export the data to many file types.
Importing data to Base,Importing data to Base
"You can import text files, spreadsheet files, and your system address book in read-only mode only. ","You can import text files, spreadsheet files, and your system address book in read-only mode only. "
"When you import from a text or spreadsheet file, the file must have a first row of header information. The second row of the file is the first valid data row. The format of every field in the second row determines the format for the entire column. Any format information from a spreadsheet file gets lost when importing to Base.","When you import from a text or spreadsheet file, the file must have a first row of header information. The second row of the file is the first valid data row. The format of every field in the second row determines the format for the entire column. Any format information from a spreadsheet file gets lost when importing to Base."
"For example, to ensure the first column has a text format, you must make sure that the first field of the first valid data row contains text. If a field in the first valid data row contains a number, the whole column is set to number format, and only numbers, no text, will be shown in that column. ","For example, to ensure the first column has a text format, you must make sure that the first field of the first valid data row contains text. If a field in the first valid data row contains a number, the whole column is set to number format, and only numbers, no text, will be shown in that column. "
Open a Base file of the database type that you want. ,Open a Base file of the database type that you want. 
"Either create a new Base file using the <link href=""text/shared/explorer/database/dabawiz00.xhp"">Database Wizard</link>, or open any existing Base file that is not read-only.","Either create a new Base file using the <link href=""text/shared/explorer/database/dabawiz00.xhp"">Database Wizard</link>, or open any existing Base file that is not read-only."
Open the Calc file that contains the data to be imported to Base. You can open a *.dbf dBase file or many other file types. ,Open the Calc file that contains the data to be imported to Base. You can open a *.dbf dBase file or many other file types. 
Select the data to be copied to Base. ,Select the data to be copied to Base. 
You can enter a range reference like A1:X500 in the Name Box if you don't want to scroll.,You can enter a range reference like A1:X500 in the Name Box if you don't want to scroll.
"If you copy a dBase sheet, include the top row that contains the header data.","If you copy a dBase sheet, include the top row that contains the header data."
Choose <emph>Edit - Copy</emph>.,Choose <emph>Edit - Copy</emph>.
"In the Base window, click <emph>Tables</emph> to view the tables.","In the Base window, click <emph>Tables</emph> to view the tables."
"In the Base window, choose <emph>Edit - Paste</emph>.","In the Base window, choose <emph>Edit - Paste</emph>."
"You see the Copy Table dialog. Most databases need a primary key, so you may want to check the <emph>Create primary key</emph> box.","You see the Copy Table dialog. Most databases need a primary key, so you may want to check the <emph>Create primary key</emph> box."
"On Windows systems, you can also use drag-and-drop instead of Copy and Paste. Also, for registered databases, you can open the datasource browser (press F4) instead of opening the Base window.","On Windows systems, you can also use drag-and-drop instead of Copy and Paste. Also, for registered databases, you can open the datasource browser (press F4) instead of opening the Base window."
"Press <item type=""keycode"">Ctrl+A</item> to select the whole text.","Нажмите клавиши <item type=""keycode"">CTRL+A</item>, чтобы выбрать весь текст."
