%PRODUCTNAME аелектронтә ԥошьҭа азынашьҭрақәа рзы  аелектронтә ԥошьҭа архиарақәа аҭахуп.\n\n Иазшәырхиарц шәҭахума уи уажәы ?	Для рассылки электронной почты %PRODUCTNAME требуется действительная учётная запись.\n\nНастроить сейчас учётную запись электронной почты?
%PRODUCTNAME ақәыргылара	Установка %PRODUCTNAME
%PRODUCTNAME хархәаҩык иаҳасаб ала шәыҽҭашәыҩҩыр ҟалоит. Аҽҭаҩҩра хатәгәаԥхаралоуп хәдықәҵара ыҟаӡам	У вас есть возможность зарегистрироваться как пользователь %PRODUCTNAME. Регистрация добровольная и без обязательств.\n\nЕсли вы зарегистрируетесь, мы можем информировать Вас о новых разработках относительно этого продукта.
SerialNumber	Серийный номер
ServiceCharge	ОплатаУслуги
ServiChrge	ОплатаУсл
Set all angles to 0 for a front view of the chart. Pie charts and donut charts are shown as circles.	Для фронтального просмотра диаграммы установите для всех углов значение 0. Круговые и вложенные круговые диаграммы представляют собой круги.
Set the focus length with the spin button. 100% gives a perspective view where a far edge in the chart looks approximately half as big as a near edge.	Длина фокусировки задается с помощью кнопки счетчика. 100% обеспечивает перспективу, в которой дальняя граница в диаграмме отображается приблизительно как половина ближней границы.
Set the light sources for the 3D view.	Установите источники света для трехмерного представления.
Sets another environment for the program start.	настройка другой среды для запуска программы.
Setting Data Ranges	Настройка диапазонов данных
Setting the Data Source	Настройка источника данных
Shape	Фигура
ShareOwned	СобстАкции
SharesOwned	СобственныеАкции
SHIFT + CTRL + PAGE DOWN	Shift+\<switchinline select=\"sys\"\>\<caseinline select=\"MAC\"\>Command\</caseinline\>\<defaultinline\>Ctrl\</defaultinline\>\</switchinline\>+Page Down
SHIFT + CTRL + PAGE UP	Shift+\<switchinline select=\"sys\"\>\<caseinline select=\"MAC\"\>Command\</caseinline\>\<defaultinline\>Ctrl\</defaultinline\>\</switchinline\>+Page Up
Shift key while creating or scaling a graphic object	Клавиша Shift при создании или масштабировании графического объекта
SHIFT\<switchinline select=\"sys\"\>\<caseinline select=\"MAC\"\>+COMMAND \</caseinline\>\<defaultinline\>+ CTRL \</defaultinline\>\</switchinline\>+F11	Shift\<switchinline select=\"sys\"\>\<caseinline select=\"MAC\"\>+Command\</caseinline\>\<defaultinline\>+Ctrl\</defaultinline\>\</switchinline\>+F11
