Ша сов къинхетаме  а‚ къинхетаме а волчу Делан  цIарца	بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ
Баккъалла а, жоьжахати хилира кIелонна йоьгIна (керстанаш чубаре хьоьжуш)‚	إِنَّ جَهَنَّمَ كَانَتْ مِرْصَادًا
/Делан дозанех/ тIехбевлачарна чугIойла хилла	لِلْطَّاغِينَ مَآبًا
Лаьттар бу уьш цу чохь дуккха хенашкахь	لَابِثِينَ فِيهَا أَحْقَابًا
Iовшур дац цара цу чохь шело а‚ малар а	لَّا يَذُوقُونَ فِيهَا بَرْدًا وَلَا شَرَابًا
Лалийна хи а‚ наткъарш бен	إِلَّا حَمِيمًا وَغَسَّاقًا
/Царна/ нийсса богIуш бекхам бу /иза/	جَزَاء وِفَاقًا
Баккъалла а, уьш хилира дог ца дохуш /шаьш динчун/ хьесапе	إِنَّهُمْ كَانُوا لَا يَرْجُونَ حِسَابًا
Цара харцдора Тхан аяташ тх харцдарца	وَكَذَّبُوا بِآيَاتِنَا كِذَّابًا
Массо а хIума дIатергалдина Оха жайнаца!	وَكُلَّ شَيْءٍ أَحْصَيْنَاهُ كِتَابًا
Iовша шайна! Совдоккхур дац Оха шуна Iазап бен	فَذُوقُوا فَلَن نَّزِيدَكُمْ إِلَّا عَذَابًا
Баккъалла а, /Делах/ кхоьручарна тола меттиг ма ю /ялсамани чохь/	إِنَّ لِلْمُتَّقِينَ مَفَازًا
Бошмаш а‚ кемсаш а /ю царна/	حَدَائِقَ وَأَعْنَابًا
/Царна/ некхий гоьрга долу‚ шерашца цхьанийса болу мехкарий /хир бу/	وَكَوَاعِبَ أَتْرَابًا
Буьззина /маларан/ кад а /хир бу/	وَكَأْسًا دِهَاقًا
Царна хозур дац цу чохь даьсса хабар а‚ харцдерг а	لَّا يَسْمَعُونَ فِيهَا لَغْوًا وَلَا كِذَّابًا
Бекхам бу /иза/ хьо Кхиош-кхобучуьнгара‚ совгIат а‚ хьесап а /Цуьнгара/ хилла,	جَزَاء مِّن رَّبِّكَ عَطَاء حِسَابًا
Стигланийн а‚ лаьттан а царна юккъехь мел долчун а Кхиош-кхобучуьнгара,  Ша сов къинхетаме волчуьнгара. Цуьнгара хабар дийцаран доладийр дац цара	رَبِّ السَّمَاوَاتِ وَالْأَرْضِ وَمَا بَيْنَهُمَا الرحْمَنِ لَا يَمْلِكُونَ مِنْهُ خِطَابًا
Оцу дийнахь дхIуттур ду Са а‚ маликаш а могIица. Вист хир вац шена Сов Къинхетаме волчо пурба делларг бен  цо а эр ду бакъдерг	يَوْمَ يَقُومُ الرُّوحُ وَالْمَلَائِكَةُ صَفًّا لَّا يَتَكَلَّمُونَ إِلَّا مَنْ أَذِنَ لَهُ الرحْمَنُ وَقَالَ صَوَابًا
Иза хьакъ-бакъ долу де ду. Шена лиъначо схьалаьцна шен Кхиош-кхобучуьнга дIаверзаран некъ	ذَلِكَ الْيَوْمُ الْحَقُّ فَمَن شَاء اتَّخَذَ إِلَى رَبِّهِ مَآبًا
Баккъалла а, Оха кхерам тесна шуна гергахь долчу Iазапца  оцу дийнахь адам хьожур ду шен шина куьйго хьалхадаьккхинчуьнга‚ эр ду керстано: 'Декъаза ваьлла со‚ сох хиллехьара поппар   /-ан чан/!'	إِنَّا أَنذَرْنَاكُمْ عَذَابًا قَرِيبًا يَوْمَ يَنظُرُ الْمَرْءُ مَا قَدَّمَتْ يَدَاهُ وَيَقُولُ الْكَافِرُ يَا لَيْتَنِي كُنتُ تُرَابًا
Шаьш нуьцкъала /керстанийн синош/ схьадохучу /маликех/ дуй боу Ас,	وَالنَّازِعَاتِ غَرْقًا
Шаьш жигара /муъмин нехан синош/ схьаоьцучу /маликех/ дуй боу Ас,	وَالنَّاشِطَاتِ نَشْطًا
Нека дечарах, нека дарца а, дуй боу Ас,	وَالسَّابِحَاتِ سَبْحًا
Сихлуш долчарах, сихдаларца, дуй боу Ас,	فَالسَّابِقَاتِ سَبْقًا
/Делан/ омра шен-шен метта дIадоькъучарах /маликех/ а дуй боу Ас:	فَالْمُدَبِّرَاتِ أَمْرًا
Оцу дийнахь /Iалам/ эгор ду эгочо	يَوْمَ تَرْجُفُ الرَّاجِفَةُ
Цунна тIаьххьо хир ду тIаьхьадогIург	تَتْبَعُهَا الرَّادِفَةُ
Дегнаш оцу дийнахь /кхераделла/ детталур ду	قُلُوبٌ يَوْمَئِذٍ وَاجِفَةٌ
Церан хьежар /шайн ирча хьал гучудаьлча, сийсазадаьлла/ охьатаьа  хир ду	أَبْصَارُهَا خَاشِعَةٌ
Олура цара /дуьненахь болуш, ца бешаш/: 'Вай юхадерзор ду вай схьадаьллачу /дахаре/	يَقُولُونَ أَئِنَّا لَمَرْدُودُونَ فِي الْحَافِرَةِ
Вайх хиллачул тIаьхьа яхкаелла даьIахкаш?'	أَئِذَا كُنَّا عِظَامًا نَّخِرَةً
Олура цара: 'Иза хIета пайдабоцу юхадерзар ма ду'	قَالُوا تِلْكَ إِذًا كَرَّةٌ خَاسِرَةٌ
Баккъалла а, иза беккъа цхьа мохь хир бу. (Исрафил малико сур лакхар.)	فَإِنَّمَا هِيَ زَجْرَةٌ وَاحِدَةٌ
Уьш берриге а /денбина/ латта тIехь хир бу	فَإِذَا هُم بِالسَّاهِرَةِ
Хьоьга деъний /хIай Мухьаммад/ Мусан хабар?	هَلْ أتَاكَ حَدِيثُ مُوسَى
Цуьнга кхайкхира иза Кхиош-кхобучо ТIува цIе йолчу езачу атагIахь:	إِذْ نَادَاهُ رَبُّهُ بِالْوَادِ الْمُقَدَّسِ طُوًى
Хьада ФирIавна тIе гIо‚ иза тIехваьлла /Делан дозанех/	اذْهَبْ إِلَى فِرْعَوْنَ إِنَّهُ طَغَى
Ахь āла /цуьнга/: 'Хьо /ширках/ цIанвала дагахь вуй?	فَقُلْ هَل لَّكَ إِلَى أَن تَزَكَّى
Ас нисвийр ву хьо Кхиош-кхобучунна тIе‚ тIаккха кхоьрур ву хьо'. ('Хир ву хьо дика Iамал ечарах.')	وَأَهْدِيَكَ إِلَى رَبِّكَ فَتَخْشَى
Цо (Мусас) гайтира цуьнга доккха делил (муIжизат‚ бозбуунчалла)	فَأَرَاهُ الْآيَةَ الْكُبْرَى
Харцдира /иза ФирIавнас/‚ Iеса велира иза	فَكَذَّبَ وَعَصَى
ТIаккха юхавелира, сихвелла	ثُمَّ أَدْبَرَ يَسْعَى
Цо гулбира /бозбуунчаш а‚ шен бIо а/‚ кхайкхира‚	فَحَشَرَ فَنَادَى
Тккха цо элира: 'Со ву вуно лекха волу шу кхиош-кхобуш волу /шун дела/!'	فَقَالَ أَنَا رَبُّكُمُ الْأَعْلَى
Дала схьалецира иза тIаьххьара /дош бахьанехь/ таIзарций‚ хьалха аьлла /дош бахьанехь/ таIзарций	فَأَخَذَهُ اللَّهُ نَكَالَ الْآخِرَةِ وَالْأُولَى
Баккъалла а, цу чохь хьехам ма бу /Делах/ кхоьруш волчунна	إِنَّ فِي ذَلِكَ لَعِبْرَةً لِّمَن يَخْشَى
Шу дара хала /Цунна/ кхолла я стигал яра? Цо хттийна иза!	أَأَنتُمْ أَشَدُّ خَلْقًا أَمِ السَّمَاء بَنَاهَا
Цо айбира цуьнан тхов‚ тIаккха нисйира /цхьа а гуш ьрг доцуш/	رَفَعَ سَمْكَهَا فَسَوَّاهَا
Бодане йира цуьнан буьйса‚ схьадаьккхира сатасар	وَأَغْطَشَ لَيْلَهَا وَأَخْرَجَ ضُحَاهَا
Латта цул тIаьхьа даржийра Цо	وَالْأَرْضَ بَعْدَ ذَلِكَ دَحَاهَا
Схьадаьккхира цунах хи а‚ дожийлаш а	أَخْرَجَ مِنْهَا مَاءهَا وَمَرْعَاهَا
Лаьмнаш дуьйгра Цо /латта тIехь/	وَالْجِبَالَ أَرْسَاهَا
Шуна а пайда болуш‚ шун бежнашна а	مَتَاعًا لَّكُمْ وَلِأَنْعَامِكُمْ
Боккха бāла беъча,	فَإِذَا جَاءتِ الطَّامَّةُ الْكُبْرَى
Оцу дийнахь адамна дагадогIур ду ша къахьегнарг	يَوْمَ يَتَذَكَّرُ الْإِنسَانُ مَا سَعَى
Гучуйоккхур ю жоьжахати гучунна	وَبُرِّزَتِ الْجَحِيمُ لِمَن يَرَى
Амма тIехваьлларг /Делан дозанех/‚	فَأَمَّا مَن طَغَى
/Эхартал/дуьненан дахар хаьржинарг	وَآثَرَ الْحَيَاةَ الدُّنْيَا
Жоьжахати хир ю цуьнан чугIойла	فَإِنَّ الْجَحِيمَ هِيَ الْمَأْوَى
Амма ша Кхиош-кхобучунна хьалха хIотта кхоьруш хилларг‚ шен дезачух (дуьненан марзонах) шен са а духатоьхнарг	وَأَمَّا مَنْ خَافَ مَقَامَ رَبِّهِ وَنَهَى النَّفْسَ عَنِ الْهَوَى
Ялсамани хир ю цуьнан чугIойла	فَإِنَّ الْجَنَّةَ هِيَ الْمَأْوَى
Хьоьга хоьтту цара /хIай Мухьаммад, ца бешаш/ сахьтах‚ маца хир ду иза хIоттар‚ бохуш‚	يَسْأَلُونَكَ عَنِ السَّاعَةِ أَيَّانَ مُرْسَاهَا
Хьуна мичара ду и хьехадан?	فِيمَ أَنتَ مِن ذِكْرَاهَا
Хьо Кхиош-кхобучуьнга ю цуьнан чакхе!	إِلَى رَبِّكَ مُنتَهَاهَا
Баккъалла а, хьо кхерамча ву цунах кхоьруш волчунна	إِنَّمَا أَنتَ مُنذِرُ مَن يَخْشَاهَا
Уьш иза шайна гуш долчу дийнахь хир бу шаьш /дуьненахь/ цхьа суьйре я цхьа Iуьйре бен ца яьккхинарш санна	كَأَنَّهُمْ يَوْمَ يَرَوْنَهَا لَمْ يَلْبَثُوا إِلَّا عَشِيَّةً أَوْ ضُحَاهَا
Юьхь хабийна дIавирзи	عَبَسَ وَتَوَلَّى
Шена тIе бIаьргашбоцург вогIу‚ аьлла	أَن جَاءهُ الْأَعْمَى
Стено хоуьйту хьоьга‚ иза-м цIанвала а мегий?	وَمَا يُدْرِيكَ لَعَلَّهُ يَزَّكَّى
Я хьехам тлоцур бу  цу хьехамо цунна пайда бийр бу	أَوْ يَذَّكَّرُ فَتَنفَعَهُ الذِّكْرَى
Амма хьал долуш верг	أَمَّا مَنِ اسْتَغْنَى
Хьо цунна тIе чIогIа воьрзу	فَأَنتَ لَهُ تَصَدَّى
Хьуна тIехь ма дац /къа/,  иза цIан ца велчи а	وَمَا عَلَيْكَ أَلَّا يَزَّكَّى
Амма хьуна тIе веъча,  сихвелла	وَأَمَّا مَن جَاءكَ يَسْعَى
