Моя история	Сара сҭоурых
Когда иисус опять переправился в лодке на другой берег, собралось к нему множество народа.	Иисус ҩаԥхьа шхәала нырцәҟа даныр, ауаа рацәаҩны идеизалт.
Он был у моря.	Иара амшын ԥшаҳәаҿ дыҟан.
И вот, приходит один из начальников синагоги, по имени иаир, и, увидев его, падает к ногам его	Абар, иара иҿы днеит асинагога аиҳабацәа руаӡәы, иаир ҳәа изыԥхьоз, иара дшибаз аиԥш, иҿаԥхьа дшьамхнышгыланы,
И усильно просит его, говоря: дочь моя при смерти; приди и возложи на нее руки, чтобы она выздоровела и осталась жива.	Ӷәӷәала диҳәоит, абас аиԥш ҳәауа: сыԥҳа аԥсразы дықәуп, унеины унапқәа лхакы, лгәы бзиахаразы, деиқәхаразы.
Иисус пошел с ним.	Иисус уи диццеит.
За ним следовало множество народа, и теснили его.	Шьардаҩы ажәларгьы ишьҭан, идеибагәалауа.
Одна женщина, которая страдала кровотечением двенадцать лет,	Жәаҩа шықәса шьаҟәаҵрала игәаҟуаз ԥҳәыск,
Много потерпела от многих врачей, истощила все, что было у ней, и не получила никакой пользы, но пришла еще в худшее состояние, –	Аҳақьымцәа рыла акыр џьа збахьаз, илымаз-илыхӡыз зегьы урҭ ирықәзырӡхьаз, уимоу еиҳагьы еицәахаз, –
Услышав об иисусе, подошла сзади в народе и прикоснулась к одежде его,	Иисус иӡбахә анлаҳа, ажәлар дрылала, ишьҭахь ала днеины имаҭәа дҩахькьысит;
Ибо говорила: если хотя к одежде его прикоснусь, то выздоровею.	Избанзар илҳәауан: ма иара имаҭәа сзахькьысыр, схы-сгәы бзиахоит;
И тотчас иссяк у ней источник крови, и она ощутила в теле, что исцелена от болезни.	Иара убри аамҭазыҵәҟьа илҟәаҵуаз ашьа аҽыннакылт, ларгьы лцәеижь ала илдырт лчымазара дшалгаз.
В то же время иисус, почувствовав сам в себе, что вышла из него сила, обратился в народе и сказал: кто прикоснулся к моей одежде?	Иисус иакәзар, аҟыԥҳәа инырт мчы-лшарак шилҵыз, нас, ажәлар днарзыԥшны иҳәоит: сцәашәҵатә иахьысда?
